GAIADR3_ID,LAMOSTDR9_OBSID,C_F1,eC_F1,C_F2,eC_F2,C_F3,eC_F3,C_F4,eC_F4,C_F5,eC_F5,C_F6,eC_F6,C_F7,eC_F7,C_F8,eC_F8,C_F9,eC_F9,C_F10,eC_F10,PLXcorr,PLXerr,Bpmag,Bperr,Rpmag,Rperr,BpRp,MRp,CarbonMedian,CarbonMAD,Visual Inspection
825385855505262080,806510200,9.204,1.367,2.745,0.26,2.293,0.428,2.823,0.539,-0.693,0.528,-2.9,0.434,0.668,0.267,1.962,0.234,2.041,0.154,2.423,0.171,0.867,0.016,11.904,0.001,10.529,0.0,1.375,0.219,0.575,0.629,no inspected
825763748203895808,208403063,14.112,1.087,3.258,0.232,2.08,0.34,3.278,0.455,0.221,0.461,-1.586,0.35,0.541,0.32,1.684,0.283,1.634,0.233,1.855,0.21,2.139,0.016,11.776,0.0,10.53,0.0,1.246,2.181,0.981,0.028,no inspected
827115563390354816,293901156,11.996,1.634,2.769,0.342,2.771,0.603,2.983,0.826,-0.005,0.847,-1.271,0.639,1.571,0.851,2.345,0.97,1.446,0.751,1.957,0.62,0.364,0.013,13.895,0.001,12.676,0.0,1.219,0.482,1.0,0.0,no inspected
827115563390354816,442001156,16.673,2.599,3.271,0.533,3.401,0.871,3.674,1.101,0.058,1.129,-2.598,0.847,1.333,0.997,2.331,0.971,1.543,0.862,2.096,0.816,0.364,0.013,13.895,0.001,12.676,0.0,1.219,0.482,1.0,0.0,no inspected
827499396027293696,293904171,9.817,0.291,2.896,0.061,2.121,0.109,1.804,0.145,-0.709,0.119,-2.782,0.116,0.891,0.085,2.153,0.074,1.854,0.054,2.181,0.051,1.026,0.015,11.117,0.0,9.784,0.0,1.333,-0.16,1.0,0.0,no inspected
827499396027293696,442004171,9.537,0.275,2.881,0.062,2.198,0.104,1.84,0.146,-0.869,0.161,-2.648,0.116,0.864,0.083,2.157,0.088,1.857,0.059,2.185,0.055,1.026,0.015,11.117,0.0,9.784,0.0,1.333,-0.16,1.0,0.0,no inspected
829579087916079488,303010172,9.137,0.246,2.353,0.063,1.17,0.115,1.343,0.135,-0.592,0.158,-2.576,0.119,0.76,0.08,1.716,0.077,1.855,0.05,2.185,0.05,1.012,0.016,11.206,0.0,9.922,0.0,1.285,-0.053,0.888,0.166,no inspected
829579087916079488,442110161,9.838,0.222,2.41,0.056,1.269,0.093,1.387,0.117,-1.084,0.135,-1.834,0.104,0.579,0.087,1.808,0.075,1.796,0.055,2.078,0.051,1.012,0.016,11.206,0.0,9.922,0.0,1.285,-0.053,0.506,0.601,no inspected
829897052933090048,343412045,12.867,0.722,2.846,0.159,2.364,0.197,2.692,0.241,-1.303,0.258,-2.343,0.256,2.955,0.125,4.23,0.128,2.506,0.077,2.979,0.072,0.316,0.021,11.819,0.002,10.223,0.001,1.596,-2.279,1.0,0.0,no inspected
831205884087352704,111209156,5.998,5.721,2.006,0.917,1.748,1.344,2.447,1.4,-0.19,1.459,-1.239,0.889,1.03,0.657,1.512,0.65,1.111,0.46,1.402,0.433,0.293,0.016,14.099,0.001,12.867,0.0,1.232,0.205,0.642,0.531,no inspected
832185342786309376,303012068,9.619,0.413,2.68,0.096,1.435,0.15,0.966,0.21,-0.89,0.22,-2.429,0.205,1.017,0.128,2.308,0.101,1.955,0.076,2.408,0.076,0.764,0.018,11.928,0.001,10.644,0.0,1.284,0.059,0.961,0.057,no inspected
832271929326935936,414305032,8.494,0.218,2.28,0.05,0.922,0.084,0.471,0.102,-0.658,0.101,-2.53,0.094,1.045,0.08,1.935,0.074,1.563,0.056,1.81,0.057,0.783,0.02,11.398,0.001,10.222,0.0,1.176,-0.309,0.516,0.668,no inspected
838819967747298048,414313195,14.442,1.155,3.023,0.185,2.082,0.288,2.128,0.331,-0.864,0.349,-1.973,0.251,1.306,0.285,2.754,0.282,2.264,0.226,2.703,0.207,0.775,0.019,11.964,0.001,10.622,0.001,1.342,0.07,0.999,0.002,no inspected
850382741262340736,149615200,11.105,5.443,2.821,1.03,1.575,1.489,3.199,1.534,0.73,1.706,-1.702,1.196,0.861,0.614,1.836,0.544,1.927,0.409,2.119,0.363,0.341,0.026,15.804,0.004,14.626,0.002,1.178,2.289,0.719,0.416,no inspected
850382741262340736,643315200,10.176,3.788,1.983,0.783,2.17,0.928,3.436,1.111,0.132,1.818,-2.78,1.018,0.917,0.581,2.065,0.502,1.928,0.424,2.398,0.371,0.341,0.026,15.804,0.004,14.626,0.002,1.178,2.289,0.781,0.324,no inspected
850818216586449152,496510248,11.029,0.285,2.408,0.071,1.895,0.115,1.992,0.157,-2.314,0.23,-5.096,0.172,1.102,0.112,2.503,0.099,2.232,0.072,2.713,0.074,0.881,0.014,11.136,0.001,9.826,0.0,1.31,-0.45,0.946,0.078,no inspected
851816951101053184,385605013,11.261,0.31,2.473,0.068,1.443,0.113,2.301,0.141,-0.508,0.147,-2.056,0.128,1.306,0.081,2.679,0.081,2.245,0.05,2.675,0.056,0.742,0.017,11.745,0.0,10.388,0.0,1.357,-0.26,1.0,0.0,no inspected
857009738361636608,283815030,10.205,0.641,2.908,0.132,1.522,0.21,1.825,0.295,-0.707,0.272,-2.31,0.233,0.966,0.148,2.141,0.129,1.808,0.097,2.38,0.085,1.368,0.016,10.718,0.0,9.367,0.0,1.351,0.046,0.999,0.001,no inspected
857026604696791040,278213030,10.51,0.997,2.591,0.193,1.56,0.279,1.502,0.321,-0.792,0.341,-2.208,0.314,0.905,0.208,1.937,0.202,1.959,0.153,2.227,0.127,0.801,0.016,11.877,0.0,10.593,0.0,1.284,0.112,0.877,0.182,no inspected
858568364813363584,49611122,9.195,0.98,2.628,0.206,0.845,0.32,2.518,0.365,-0.547,0.372,-2.283,0.391,0.874,0.295,2.468,0.26,1.728,0.193,2.044,0.194,1.419,0.013,11.184,0.0,9.877,0.0,1.307,0.637,0.843,0.232,no inspected
865033802423193856,334805009,0.0,0.0,0.0,0.0,1.087,1.667,1.198,1.848,-0.052,2.209,-2.206,1.543,1.38,0.797,2.006,0.758,1.569,0.651,2.241,0.627,1.439,0.015,10.191,0.0,8.982,0.0,1.21,-0.228,0.768,0.344,no inspected
865261057732259328,230401083,10.54,4.744,2.6,0.911,1.672,1.189,1.647,1.459,-0.977,1.438,-2.249,0.821,0.746,0.426,2.195,0.377,2.053,0.259,2.413,0.224,0.358,0.015,13.688,0.002,12.336,0.001,1.353,0.103,0.706,0.436,no inspected
865614756879630208,140405228,8.004,1.9,3.641,0.319,2.154,0.476,3.806,0.582,0.945,0.611,-0.77,0.449,0.732,0.353,1.871,0.344,2.011,0.207,2.082,0.208,1.907,0.014,12.873,0.001,11.658,0.0,1.215,3.06,0.986,0.021,no inspected
865707012777044992,811216213,8.717,1.907,2.424,0.414,1.351,0.651,2.127,0.76,-0.691,0.748,-2.014,0.595,0.9,0.443,2.067,0.413,1.66,0.3,2.07,0.293,0.295,0.018,14.493,0.001,13.122,0.001,1.371,0.47,0.571,0.635,no inspected
865756112843201024,140404145,5.978,2.089,1.179,0.523,0.542,0.717,2.93,0.893,-0.194,0.99,-1.456,0.715,1.185,0.365,1.79,0.328,1.397,0.223,1.637,0.198,0.329,0.013,13.766,0.001,12.296,0.001,1.47,-0.116,0.983,0.026,no inspected
865756112843201024,140504145,8.872,3.072,1.754,0.634,0.924,0.866,3.185,0.899,-0.912,1.047,-1.948,0.741,1.33,0.4,2.293,0.365,1.484,0.247,1.735,0.223,0.329,0.013,13.766,0.001,12.296,0.001,1.47,-0.116,0.996,0.006,no inspected
865773528933232256,140404193,6.999,1.791,1.874,0.433,1.013,0.641,2.667,0.858,-0.032,0.958,-1.581,0.681,1.394,0.42,1.824,0.369,1.788,0.269,2.011,0.268,1.32,0.015,12.432,0.001,11.121,0.0,1.311,1.724,0.954,0.069,no inspected
866003399880948864,270111136,9.506,2.84,2.605,0.605,1.881,0.917,3.524,1.12,1.488,1.775,-2.012,1.275,1.057,0.641,2.361,0.584,1.814,0.702,2.453,0.538,0.483,0.035,15.78,0.002,14.522,0.001,1.258,2.94,0.732,0.398,no inspected
866034083127280384,334804177,11.268,0.587,2.442,0.138,1.617,0.208,2.26,0.309,-0.681,0.292,-2.593,0.235,1.081,0.143,2.664,0.131,2.232,0.096,2.707,0.082,1.029,0.013,11.373,0.001,9.971,0.001,1.402,0.034,0.999,0.002,no inspected
866573084342265472,334812112,10.304,1.587,2.125,0.337,1.241,0.454,1.089,0.623,-0.735,0.67,-2.497,0.634,0.86,0.368,1.957,0.33,1.801,0.228,2.202,0.215,1.204,0.019,10.947,0.0,9.639,0.0,1.308,0.042,0.644,0.528,no inspected
866995331166559360,89902043,10.222,0.693,2.265,0.156,1.079,0.234,1.68,0.303,-0.403,0.345,-2.386,0.28,0.97,0.19,2.136,0.168,2.019,0.112,2.308,0.117,0.71,0.017,12.067,0.001,10.778,0.0,1.289,0.032,0.999,0.002,no inspected
866995331166559360,90002043,10.112,0.755,2.311,0.166,1.322,0.216,1.646,0.331,-0.509,0.35,-2.408,0.3,1.01,0.202,2.177,0.189,2.036,0.134,2.247,0.125,0.71,0.017,12.067,0.001,10.778,0.0,1.289,0.032,0.999,0.001,no inspected
866995331166559360,140406049,10.075,1.485,2.056,0.336,1.006,0.484,1.443,0.705,-1.2,0.76,-2.355,0.589,0.89,0.324,2.067,0.277,1.73,0.172,2.123,0.166,0.71,0.017,12.067,0.001,10.778,0.0,1.289,0.032,0.589,0.609,no inspected
866995331166559360,185102043,9.739,0.266,2.214,0.079,1.347,0.128,1.381,0.179,-0.942,0.216,-2.19,0.158,0.782,0.1,1.781,0.087,1.792,0.066,2.068,0.069,0.71,0.017,12.067,0.001,10.778,0.0,1.289,0.032,0.813,0.277,no inspected
867368649724665216,89910080,7.077,1.733,1.806,0.349,2.001,0.549,3.126,0.735,0.495,0.751,-1.043,0.885,0.888,0.721,1.264,0.795,1.378,0.534,1.4,0.484,0.525,0.019,13.319,0.001,12.111,0.001,1.208,0.71,0.998,0.002,no inspected
867368649724665216,140413234,6.779,2.823,1.655,0.548,2.221,0.712,3.256,0.852,0.572,0.799,-1.12,0.661,1.093,0.451,1.328,0.381,1.222,0.253,1.271,0.253,0.525,0.019,13.319,0.001,12.111,0.001,1.208,0.71,1.0,0.0,no inspected
867415963084331776,140513120,8.887,1.45,2.164,0.326,1.429,0.49,1.89,0.528,-0.974,0.468,-2.332,0.401,1.227,0.269,2.532,0.223,1.987,0.156,2.406,0.149,1.025,0.015,11.458,0.001,10.099,0.0,1.359,0.153,0.991,0.013,no inspected
869002008606419072,90805129,9.758,0.314,2.305,0.066,1.244,0.117,1.057,0.15,-0.779,0.146,-2.952,0.134,0.809,0.088,1.768,0.083,1.993,0.05,2.369,0.053,0.939,0.015,11.298,0.001,9.986,0.0,1.312,-0.152,0.914,0.127,no inspected
869151950208247680,90708040,10.699,0.733,2.128,0.171,1.257,0.251,1.98,0.287,-0.108,0.351,-2.769,0.262,0.747,0.166,1.922,0.125,2.037,0.087,2.33,0.094,0.599,0.015,12.516,0.001,11.162,0.001,1.354,0.048,0.998,0.003,no inspected
869151950208247680,90808040,10.742,0.697,2.077,0.191,1.328,0.249,1.87,0.322,-0.479,0.332,-2.403,0.255,0.725,0.16,1.845,0.142,1.98,0.09,2.385,0.092,0.599,0.015,12.516,0.001,11.162,0.001,1.354,0.048,0.987,0.02,no inspected
869159444927470592,3407064,10.191,4.079,2.429,0.78,1.927,0.976,1.932,1.225,-0.072,1.305,-1.778,0.783,0.701,0.562,1.878,0.463,1.747,0.385,1.732,0.368,0.227,0.023,14.602,0.001,13.265,0.001,1.337,0.04,0.599,0.594,no inspected
869222804285832192,177909220,10.124,0.644,2.382,0.162,1.701,0.247,2.468,0.306,-0.378,0.337,-2.437,0.208,0.9,0.15,2.058,0.138,1.893,0.104,2.338,0.091,0.387,0.013,13.83,0.001,12.446,0.0,1.384,0.385,0.796,0.302,no inspected
869222804285832192,183209220,10.665,1.612,2.474,0.346,1.759,0.538,2.322,0.627,-0.628,0.754,-2.453,0.41,0.858,0.24,1.946,0.236,2.017,0.183,2.373,0.168,0.387,0.013,13.83,0.001,12.446,0.0,1.384,0.385,0.717,0.42,no inspected
869310554761376896,177809066,9.558,0.263,2.025,0.08,0.672,0.109,2.113,0.154,-1.053,0.159,-2.573,0.105,0.881,0.069,1.984,0.064,1.762,0.056,1.956,0.049,0.731,0.014,11.933,0.001,10.482,0.001,1.451,-0.197,0.971,0.038,no inspected
869310554761376896,183109066,9.904,0.681,2.094,0.167,0.624,0.296,2.24,0.349,-0.787,0.382,-2.73,0.186,1.045,0.098,2.284,0.07,1.817,0.057,2.106,0.058,0.731,0.014,11.933,0.001,10.482,0.001,1.451,-0.197,0.984,0.023,no inspected
869567432461681664,177915201,7.695,0.24,2.053,0.055,2.363,0.093,1.87,0.128,0.192,0.114,-2.009,0.117,0.317,0.088,1.254,0.076,1.72,0.052,1.831,0.054,0.898,0.021,12.139,0.001,10.955,0.0,1.184,0.722,0.91,0.116,no inspected
869567432461681664,183215201,7.99,0.272,2.074,0.067,2.246,0.115,1.839,0.157,0.305,0.159,-1.882,0.147,0.358,0.105,1.148,0.109,1.756,0.078,1.958,0.074,0.898,0.021,12.139,0.001,10.955,0.0,1.184,0.722,0.925,0.097,no inspected
869577358129776384,177815210,10.836,0.599,2.123,0.154,1.094,0.217,2.892,0.225,-0.821,0.263,-2.216,0.193,0.983,0.126,2.104,0.118,1.893,0.089,2.242,0.079,0.439,0.02,13.208,0.001,11.753,0.001,1.455,-0.036,0.834,0.245,no inspected
869577358129776384,178015210,10.64,0.738,2.235,0.166,1.419,0.249,2.849,0.315,-0.638,0.288,-2.554,0.265,0.992,0.147,2.074,0.136,1.753,0.11,2.092,0.088,0.439,0.02,13.208,0.001,11.753,0.001,1.455,-0.036,0.944,0.082,no inspected
869577358129776384,183115210,11.404,2.95,2.175,0.526,1.429,0.725,3.048,0.827,-0.16,0.844,-2.095,0.614,0.963,0.362,1.951,0.388,1.79,0.247,2.167,0.243,0.439,0.02,13.208,0.001,11.753,0.001,1.455,-0.036,0.995,0.008,no inspected
869577358129776384,183315210,12.809,4.721,2.846,0.801,1.108,1.077,2.683,1.103,-0.455,1.08,-2.561,0.904,0.921,0.666,2.044,0.625,1.982,0.425,2.599,0.421,0.439,0.02,13.208,0.001,11.753,0.001,1.455,-0.036,0.58,0.622,no inspected
869577358129776384,657211118,9.922,1.784,2.339,0.332,1.336,0.426,2.84,0.483,-0.625,0.543,-2.123,0.38,0.848,0.204,2.182,0.204,1.699,0.15,2.012,0.132,0.439,0.02,13.208,0.001,11.753,0.001,1.455,-0.036,0.836,0.243,no inspected
869580278707533696,177911095,9.508,0.84,2.349,0.17,1.055,0.218,1.337,0.292,-1.327,0.327,-1.954,0.261,1.403,0.139,2.03,0.118,1.601,0.086,1.64,0.079,0.239,0.017,12.678,0.001,11.15,0.001,1.528,-1.956,1.0,0.0,no inspected
869580278707533696,183211095,9.351,0.759,2.29,0.161,1.195,0.23,1.607,0.301,-1.199,0.356,-1.722,0.271,1.184,0.194,1.742,0.151,1.587,0.122,1.672,0.114,0.239,0.017,12.678,0.001,11.15,0.001,1.528,-1.956,0.997,0.004,no inspected
869638690262586368,183212139,12.605,0.509,1.915,0.132,1.881,0.196,2.186,0.255,-0.295,0.277,-1.758,0.24,1.741,0.167,2.574,0.146,2.19,0.103,2.649,0.099,0.47,0.015,12.412,0.001,11.111,0.0,1.301,-0.527,1.0,0.0,no inspected
869729331251854976,92105189,9.757,0.612,1.717,0.163,1.371,0.232,2.18,0.323,-0.122,0.317,-2.027,0.311,0.95,0.201,1.785,0.162,1.74,0.135,2.051,0.121,0.648,0.018,11.883,0.001,10.632,0.0,1.251,-0.311,0.999,0.001,no inspected
869729331251854976,177811043,9.943,0.423,1.729,0.099,1.821,0.156,2.266,0.215,-0.239,0.25,-1.561,0.196,0.785,0.129,1.652,0.12,1.676,0.083,1.958,0.072,0.648,0.018,11.883,0.001,10.632,0.0,1.251,-0.311,0.997,0.004,no inspected
869729331251854976,177911043,9.846,0.386,1.737,0.097,1.664,0.178,2.225,0.233,-0.115,0.23,-1.745,0.221,0.813,0.14,1.672,0.125,1.724,0.087,1.952,0.086,0.648,0.018,11.883,0.001,10.632,0.0,1.251,-0.311,0.997,0.005,no inspected
869729331251854976,178011043,10.125,0.479,1.754,0.143,1.773,0.22,2.189,0.272,0.101,0.331,-1.39,0.258,0.808,0.17,1.707,0.168,1.692,0.113,2.061,0.113,0.648,0.018,11.883,0.001,10.632,0.0,1.251,-0.311,1.0,0.0,no inspected
869729331251854976,183111043,9.972,0.453,1.657,0.122,1.725,0.182,2.177,0.265,-0.18,0.274,-1.53,0.237,0.811,0.147,1.687,0.129,1.733,0.094,1.931,0.091,0.648,0.018,11.883,0.001,10.632,0.0,1.251,-0.311,0.998,0.004,no inspected
869729331251854976,183211043,9.706,0.482,1.684,0.128,1.621,0.187,2.123,0.273,-0.126,0.285,-1.662,0.265,0.885,0.185,2.016,0.174,1.783,0.142,1.949,0.121,0.648,0.018,11.883,0.001,10.632,0.0,1.251,-0.311,1.0,0.0,no inspected
869729331251854976,183311043,9.718,0.632,1.716,0.162,1.87,0.258,2.115,0.359,-0.117,0.432,-1.497,0.397,0.82,0.285,1.653,0.273,1.646,0.21,1.9,0.209,0.648,0.018,11.883,0.001,10.632,0.0,1.251,-0.311,0.999,0.001,no inspected
869729331251854976,327801044,9.969,0.493,1.762,0.126,1.753,0.183,1.958,0.305,-0.056,0.31,0.626,0.321,0.809,0.421,1.615,0.404,1.843,0.278,2.092,0.335,0.648,0.018,11.883,0.001,10.632,0.0,1.251,-0.311,0.999,0.002,no inspected
870313073143447680,92115120,10.469,2.016,2.604,0.421,2.197,0.582,3.039,0.733,0.038,0.761,-2.152,0.521,0.824,0.326,2.146,0.281,2.08,0.198,2.557,0.176,0.405,0.018,13.895,0.001,12.475,0.001,1.42,0.514,1.0,0.001,no inspected
870835096352489088,108812210,9.549,3.29,2.022,0.601,2.45,0.815,2.719,0.933,0.172,1.19,-1.872,1.063,1.243,0.542,1.74,0.528,1.959,0.385,2.137,0.378,0.309,0.024,13.883,0.001,12.667,0.001,1.216,0.117,1.0,0.0,no inspected
870835096352489088,108912210,9.445,3.645,1.979,0.764,2.088,0.959,2.277,1.331,0.279,1.379,-1.607,1.167,1.192,0.648,1.805,0.565,2.063,0.406,2.079,0.415,0.309,0.024,13.883,0.001,12.667,0.001,1.216,0.117,0.999,0.001,no inspected
870835096352489088,327810091,9.3,1.836,1.929,0.372,1.985,0.639,2.453,0.744,0.128,0.778,-1.289,0.635,0.531,0.81,1.152,0.704,1.407,0.561,1.56,0.563,0.309,0.024,13.883,0.001,12.667,0.001,1.216,0.117,0.715,0.423,no inspected
870922541886228480,327805027,11.436,0.44,2.518,0.099,1.41,0.136,1.838,0.165,-0.658,0.17,-1.96,0.125,1.025,0.117,2.113,0.118,1.773,0.095,2.192,0.081,0.918,0.016,11.617,0.001,10.274,0.0,1.343,0.089,0.961,0.058,no inspected
870976898992313216,92114063,9.695,2.271,1.933,0.427,1.855,0.609,2.733,0.743,-0.707,0.682,-2.324,0.552,0.884,0.314,2.338,0.287,2.083,0.181,2.404,0.184,0.469,0.014,13.341,0.002,11.915,0.002,1.426,0.272,0.916,0.124,no inspected
870976898992313216,327805199,10.96,1.575,2.23,0.289,1.562,0.361,2.985,0.43,-0.502,0.416,-3.538,0.386,1.231,0.42,2.499,0.422,1.939,0.33,2.503,0.317,0.469,0.014,13.341,0.002,11.915,0.002,1.426,0.272,0.734,0.395,no inspected
871460413527082880,140416065,9.836,0.889,2.282,0.234,1.439,0.374,0.853,0.436,-0.774,0.412,-2.056,0.329,0.669,0.215,1.85,0.171,2.081,0.125,2.278,0.126,0.737,0.019,11.823,0.001,10.551,0.0,1.272,-0.113,0.537,0.667,no inspected
871702026910928128,90805059,8.987,2.216,2.474,0.392,1.466,0.568,0.514,0.809,-0.569,0.769,-1.807,0.612,0.778,0.463,2.166,0.454,2.036,0.297,2.009,0.299,0.313,0.015,13.676,0.001,12.388,0.001,1.288,-0.135,0.935,0.096,no inspected
871749207128379776,327808129,10.459,0.396,2.185,0.091,1.428,0.145,2.601,0.165,-0.792,0.169,-2.824,0.126,0.979,0.101,2.474,0.095,2.206,0.063,2.595,0.051,0.806,0.021,11.876,0.001,10.459,0.0,1.416,-0.009,0.986,0.02,no inspected
871773838764870144,327806096,9.645,1.32,2.672,0.307,1.855,0.434,3.633,0.562,0.565,0.541,-0.427,0.464,0.357,0.494,1.38,0.434,1.463,0.328,1.798,0.325,1.349,0.014,13.253,0.001,12.016,0.001,1.238,2.665,0.7,0.445,no inspected
871928736761426688,90703045,9.501,0.447,1.898,0.118,1.048,0.19,2.457,0.247,-0.041,0.308,-0.146,0.231,0.73,0.132,1.613,0.12,1.963,0.079,2.143,0.07,1.365,0.024,11.935,0.001,10.662,0.0,1.273,1.337,0.573,0.579,no inspected
872041024386037248,307201006,8.145,2.461,2.337,0.432,1.3,0.654,1.846,0.788,0.046,0.827,-1.115,0.626,1.494,0.43,1.902,0.379,1.693,0.305,1.858,0.29,0.261,0.022,14.864,0.001,13.564,0.001,1.3,0.646,1.0,0.0,no inspected
872055421116498048,90804103,9.773,1.362,2.42,0.276,1.58,0.491,1.745,0.637,-0.806,0.696,-2.455,0.574,1.14,0.354,2.387,0.361,1.957,0.229,2.325,0.206,0.374,0.019,13.566,0.001,12.196,0.0,1.37,0.063,0.996,0.006,no inspected
872055421116498048,619916105,9.964,0.544,2.391,0.132,1.741,0.176,2.037,0.233,-0.81,0.263,-2.16,0.197,0.827,0.136,1.995,0.119,1.907,0.095,2.133,0.088,0.374,0.019,13.566,0.001,12.196,0.0,1.37,0.063,0.875,0.185,no inspected
872102562677326848,619916219,9.491,1.388,2.226,0.281,1.575,0.406,2.054,0.5,0.135,0.494,-1.589,0.394,0.659,0.275,1.73,0.255,1.735,0.164,2.021,0.167,0.329,0.014,14.007,0.001,12.641,0.001,1.366,0.227,0.852,0.22,no inspected
872382697624793984,90803120,10.498,0.539,1.786,0.143,1.445,0.254,1.676,0.298,0.157,0.388,-2.069,0.331,1.111,0.193,1.963,0.204,1.875,0.117,2.246,0.117,0.506,0.015,12.494,0.001,11.329,0.001,1.165,-0.151,1.0,0.0,no inspected
872382697624793984,327813195,10.779,2.397,1.809,0.466,1.739,0.564,1.829,0.705,-0.177,0.732,-2.113,0.541,1.325,0.781,2.332,0.761,1.556,0.574,2.155,0.53,0.506,0.015,12.494,0.001,11.329,0.001,1.165,-0.151,0.999,0.001,no inspected
872845454581057024,327812009,18.601,1.008,3.279,0.185,2.282,0.264,2.563,0.303,-0.724,0.27,-1.163,0.219,1.038,0.153,2.318,0.158,1.932,0.108,2.366,0.106,0.846,0.024,11.94,0.001,10.563,0.0,1.376,0.201,1.0,0.0,no inspected
873156474635859840,90814168,8.023,1.443,1.661,0.334,0.905,0.426,1.905,0.525,-0.477,0.541,-2.005,0.425,0.644,0.248,1.664,0.247,1.77,0.184,1.955,0.163,0.433,0.014,13.123,0.001,11.771,0.0,1.352,-0.047,0.526,0.697,no inspected
873820991976307584,89912143,11.873,1.288,2.347,0.289,2.144,0.422,2.659,0.507,-0.354,0.581,-1.944,0.504,1.521,0.378,2.413,0.34,1.869,0.245,2.429,0.231,0.71,0.017,12.452,0.001,11.139,0.0,1.313,0.395,1.0,0.0,no inspected
873820991976307584,99301206,13.407,0.981,2.222,0.241,1.824,0.341,2.409,0.426,-0.722,0.479,-2.008,0.371,1.494,0.391,2.313,0.411,1.755,0.337,2.257,0.345,0.71,0.017,12.452,0.001,11.139,0.0,1.313,0.395,1.0,0.0,no inspected
873832953462072320,99201209,17.304,1.828,3.487,0.344,1.933,0.569,1.688,0.637,-1.075,0.639,-3.201,0.472,1.556,0.44,3.013,0.358,2.154,0.314,2.623,0.305,0.517,0.013,12.834,0.001,11.493,0.0,1.341,0.06,0.918,0.122,no inspected
873832953462072320,99301209,9.435,0.706,2.686,0.154,1.268,0.256,1.223,0.335,-1.344,0.387,-3.069,0.344,1.419,0.335,2.721,0.378,1.945,0.295,2.363,0.315,0.517,0.013,12.834,0.001,11.493,0.0,1.341,0.06,0.566,0.642,no inspected
873832953462072320,185112138,11.019,1.177,2.877,0.276,1.62,0.396,1.286,0.639,-0.753,0.756,-2.745,0.554,1.151,0.328,2.313,0.308,1.996,0.252,2.23,0.234,0.517,0.013,12.834,0.001,11.493,0.0,1.341,0.06,0.899,0.15,no inspected
873879064231530880,89912008,9.815,1.271,2.045,0.29,1.179,0.424,1.331,0.496,-0.37,0.488,-1.57,0.426,0.812,0.347,1.769,0.33,1.634,0.227,2.055,0.232,0.693,0.02,12.325,0.001,11.021,0.001,1.304,0.224,0.684,0.469,no inspected
873879064231530880,185112018,9.212,0.349,1.938,0.09,0.878,0.143,1.615,0.218,-0.455,0.256,-0.936,0.183,0.793,0.138,1.659,0.116,1.645,0.082,1.922,0.077,0.693,0.02,12.325,0.001,11.021,0.001,1.304,0.224,0.632,0.537,no inspected
874109961673111552,183705040,3.673,0.718,2.043,0.169,3.085,0.234,3.526,0.305,1.62,0.387,0.44,0.3,0.708,0.271,1.03,0.241,0.983,0.226,0.898,0.218,0.443,0.026,15.291,0.002,14.268,0.001,1.023,2.502,1.0,0.0,no inspected
875003692827704832,99205037,12.544,0.771,2.028,0.164,1.915,0.237,2.976,0.289,-0.373,0.288,-1.233,0.25,0.751,0.173,2.146,0.163,2.129,0.103,2.479,0.106,0.91,0.022,11.801,0.001,10.457,0.0,1.344,0.253,0.998,0.003,no inspected
875003692827704832,99305037,12.472,0.578,1.912,0.133,2.115,0.188,3.03,0.23,-0.403,0.219,-0.924,0.18,0.914,0.115,2.28,0.109,2.126,0.074,2.508,0.071,0.91,0.022,11.801,0.001,10.457,0.0,1.344,0.253,1.0,0.0,no inspected
875020666536917632,99205059,10.758,0.464,2.89,0.086,1.702,0.134,1.512,0.21,-0.923,0.201,-2.13,0.177,1.162,0.111,2.538,0.101,2.054,0.073,2.31,0.063,1.043,0.017,11.439,0.001,10.11,0.0,1.33,0.202,0.992,0.011,no inspected
875429233897437824,99204115,12.757,1.879,2.717,0.315,1.753,0.567,2.192,0.801,-0.595,0.668,-2.531,0.548,1.006,0.426,2.201,0.352,2.092,0.266,2.507,0.254,0.601,0.015,12.58,0.001,11.238,0.0,1.342,0.131,0.89,0.163,no inspected
875839184225342976,99215013,10.433,0.523,2.112,0.13,1.746,0.206,1.527,0.227,0.149,0.268,1.038,0.191,0.89,0.123,1.74,0.114,1.667,0.081,1.879,0.07,0.794,0.016,11.391,0.001,10.249,0.0,1.142,-0.252,1.0,0.0,no inspected
875839184225342976,99315013,8.984,0.322,2.041,0.073,1.677,0.142,1.439,0.159,0.113,0.19,0.11,0.136,0.921,0.105,1.854,0.099,1.752,0.071,1.942,0.077,0.794,0.016,11.391,0.001,10.249,0.0,1.142,-0.252,1.0,0.0,no inspected
875893163374181760,650816027,11.19,0.399,2.443,0.09,1.511,0.135,1.181,0.163,-0.166,0.166,-1.793,0.108,0.664,0.099,1.808,0.081,1.971,0.057,2.342,0.054,0.861,0.023,11.622,0.001,10.347,0.0,1.275,0.021,0.982,0.027,no inspected
876024005258120960,99206062,11.472,2.412,2.049,0.518,1.569,0.726,2.45,1.13,-0.835,1.036,-2.346,0.831,1.014,0.584,2.278,0.485,1.774,0.355,2.237,0.349,0.436,0.014,13.252,0.001,11.895,0.0,1.357,0.092,0.896,0.154,no inspected
